date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-06-03,sh.600028,5.554002,5.563611,5.505957,5.525175,95018610.0,0.1002,15.407723,0.230921,-91.482218,0.835357,0.016032
2025-06-04,sh.600028,5.525175,5.554002,5.515566,5.534784,69972152.0,0.0738,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-06-05,sh.600028,5.525175,5.544393,5.486739,5.496348,99519727.0,0.1049,15.322745,0.229647,-90.977668,0.83075,0.016032
2025-06-06,sh.600028,5.505957,5.534784,5.486739,5.525175,84544104.0,0.0891,15.403109,0.230851,-91.454823,0.835107,0.016032
2025-06-09,sh.600028,5.534784,5.544393,5.505957,5.534784,79071162.0,0.0834,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-06-10,sh.600028,5.534784,5.563611,5.505957,5.525175,104333812.0,0.11,15.403109,0.230851,-91.454823,0.835107,0.016032
2025-06-11,sh.600028,5.525175,5.650092,5.515566,5.640483,235635718.0,0.2485,15.724565,0.235669,-93.363446,0.852536,0.016032
2025-06-12,sh.600028,5.640483,5.678919,5.582829,5.659701,159278192.0,0.1679,15.778141,0.236472,-93.681549,0.85544,0.016032
2025-06-13,sh.600028,5.717355,5.755791,5.66931,5.698137,192690158.0,0.2032,15.885293,0.238078,-94.317757,0.86125,0.016032
2025-06-16,sh.600028,5.717355,5.726964,5.640483,5.678919,195747331.0,0.2064,15.831717,0.237275,-93.999653,0.858345,0.016032
2025-06-17,sh.600028,5.678919,5.784618,5.66931,5.726964,250770753.0,0.2644,15.965657,0.239283,-94.794912,0.865607,0.016032
2025-06-18,sh.600028,5.77616218,5.78600232,5.66792064,5.66792064,183268746.0,0.1932,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-06-19,sh.600028,5.67776078,5.7564819,5.6088798,5.74664176,210279018.0,0.2217,15.644201,0.234465,-92.88629,0.848179,0.016032
2025-06-20,sh.600028,5.73680162,5.76632204,5.6580805,5.6580805,182528779.0,0.1925,15.403109,0.230851,-91.454823,0.835107,0.016032
2025-06-23,sh.600028,5.71712134,5.73680162,5.57935938,5.61871994,215761708.0,0.2275,15.295957,0.229246,-90.818616,0.829298,0.016032
2025-06-24,sh.600028,5.56951924,5.62856008,5.47111784,5.57935938,209694894.0,0.2211,15.188805,0.22764,-90.182408,0.823488,0.016032
2025-06-25,sh.600028,5.5596791,5.59903966,5.53015868,5.58919952,148293001.0,0.1564,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-06-26,sh.600028,5.58919952,5.62856008,5.56951924,5.61871994,116040255.0,0.1224,15.295957,0.229246,-90.818616,0.829298,0.016032
2025-06-27,sh.600028,5.61871994,5.61871994,5.54983896,5.56951924,127288456.0,0.1342,15.162017,0.227238,-90.023356,0.822036,0.016032
