code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000651,2025-04-28,2024-12-31,0.253212,0.171127,0.294282,32371069287.350000,5.745802,169715353002.470000,5601405741.00,5514949814.00
sz.000651,2025-04-28,2025-03-31,0.042084,0.143148,0.273605,5941618723.390000,5.965265,,5601405741.00,5514949814.00
sz.000651,2025-08-29,2025-06-30,0.105658,0.149118,0.284899,14512869071.010000,5.795127,87495250773.200000,5601405741.00,5515155557.00
sz.000651,2025-10-31,2025-09-30,0.152294,0.157289,0.284386,21576908418.300000,5.656618,,5601405741.00,5515155557.00
sz.000661,2024-04-20,2024-03-31,0.038241,0.280645,0.834276,891709687.600000,11.208214,,404544190.00,401940440.00
sz.000661,2024-08-16,2024-06-30,0.078170,0.270457,0.846233,1795499973.740000,10.117714,6638771761.460000,404423090.00,398432870.00
sz.000661,2024-10-26,2024-09-30,0.123808,0.281291,0.855995,2922032804.680000,9.219558,,402290989.00,398278671.00
sz.000661,2025-04-21,2024-12-31,0.114613,0.201069,0.857221,2707513470.350000,6.331314,13465627318.380000,407981429.00,399668306.00
sz.000661,2025-04-21,2025-03-31,0.020344,0.156604,0.882226,469417165.790000,5.385714,,407937529.00,399626806.00
sz.000661,2025-08-30,2025-06-30,0.042886,0.141137,0.833500,931916187.870000,4.525760,6602936008.810000,407937529.00,399624406.00
sz.000661,2025-10-31,2025-09-30,0.050640,0.108062,0.839523,1059725544.290000,2.350980,,407937529.00,399624406.00
sz.000708,2024-04-23,2024-03-31,0.034595,0.049961,0.123056,1420319533.150000,1.109671,,5047156391.00,5047156391.00
sz.000708,2024-08-20,2024-06-30,0.070666,0.049860,0.123040,2842273313.740000,1.071250,57005199387.180000,5047156562.00,5047156562.00
sz.000708,2024-10-26,2024-09-30,0.098032,0.048201,0.123705,4024958006.510000,1.026915,,5047156691.00,5047156691.00
sz.000708,2025-03-20,2024-12-31,0.128882,0.049069,0.128463,5358436264.970000,1.015547,109202941453.900000,5047157035.00,5047157035.00
sz.000708,2025-04-19,2025-03-31,0.033199,0.053892,0.138185,1446458709.260000,1.020299,,5047157168.00,5047157168.00
sz.000708,2025-08-20,2025-06-30,0.067979,0.053555,0.143655,2930301151.320000,1.029985,54715347401.630000,5047157520.00,5047157520.00
sz.000708,2025-10-25,2025-09-30,0.104399,0.055326,0.147240,4492784894.110000,1.113461,,5047157829.00,5047157829.00
sz.000725,2024-04-30,2024-03-31,0.007574,0.010522,0.144834,482832354.000000,0.087217,,37652529195.00,36760685841.00
sz.000725,2024-08-28,2024-06-30,0.017552,0.018961,0.159951,1770665661.000000,0.108783,93386241632.000000,37649981416.00,36852705766.00
sz.000725,2024-10-31,2024-09-30,0.025319,0.013479,0.164894,1937285843.000000,0.128421,,37649981416.00,36851897866.00
sz.000725,2025-04-22,2024-12-31,0.040579,0.020896,0.152024,4145273882.000000,0.141406,198380605661.000000,37645016203.00,36851555686.00
sz.000725,2025-04-29,2025-03-31,0.012159,0.038283,0.157750,1937100202.000000,0.158147,,37645016203.00,36851555686.00
sz.000725,2025-08-28,2025-06-30,0.024419,0.029908,0.144066,3029065939.000000,0.168015,101278182135.000000,37413880464.00,36706050201.00
sz.000725,2025-10-31,2025-09-30,0.034503,0.028500,0.144170,4404678299.000000,0.176806,,37413880464.00,36706050201.00
sz.000768,2024-04-30,2024-03-31,0.013833,0.032227,0.080456,272476715.960000,0.322779,,2781740071.00,2768638696.00
sz.000768,2024-08-27,2024-06-30,0.033263,0.032326,0.058935,657156454.980000,0.342535,20329154453.160000,2781740071.00,2768645071.00
sz.000768,2024-10-31,2024-09-30,0.047397,0.032746,0.073629,943752097.270000,0.359854,,2781740071.00,2768645071.00
sz.000768,2025-04-01,2024-12-31,0.050454,0.023682,0.058543,1023435524.550000,0.367912,43215752501.380000,2781740071.00,2768643871.00
sz.000768,2025-04-30,2025-03-31,0.013613,0.034219,0.082379,288753910.090000,0.373763,,2781740071.00,2772807703.00
sz.000768,2025-08-26,2025-06-30,0.032419,0.035480,0.072690,688882659.910000,0.379398,19259474336.020000,2781149071.00,2772725857.00
sz.000768,2025-10-30,2025-09-30,0.046341,0.032812,0.067863,992365352.940000,0.385470,,2781149071.00,2772725857.00
sz.000776,2024-04-30,2024-03-31,0.011160,0.346121,,1713072977.760000,0.834446,,7621087664.00,5919291464.00
sz.000776,2024-08-31,2024-06-30,0.031563,0.402052,,4735419100.430000,0.892493,11778118635.190000,7621087664.00,5919291464.00
sz.000776,2024-10-31,2024-09-30,0.048576,0.391755,,7497027594.170000,1.040825,,7621087664.00,5919291464.00
sz.000776,2025-03-29,2024-12-31,0.068028,0.387689,,10544672524.340000,1.264495,27198789118.970000,7621087664.00,5919291464.00
sz.000776,2025-04-30,2025-03-31,0.018529,0.410262,,2970388406.340000,1.427284,,7605845511.00,5904049311.00
sz.000776,2025-08-30,2025-06-30,0.043341,0.454959,,7005507423.700000,1.544103,15398122178.830000,7605845511.00,5904049311.00
sz.000776,2025-10-31,2025-09-30,0.072627,0.453960,,11877565578.810000,1.815271,,7605845511.00,5904049311.00
sz.000786,2024-04-27,2024-03-31,0.034541,0.139520,0.286481,829292612.080000,2.220076,,1689507842.00,1632449060.00
sz.000786,2024-08-23,2024-06-30,0.093062,0.165747,0.309445,2253646072.180000,2.274193,13596904172.580000,1689507842.00,1632449060.00
sz.000786,2024-10-25,2024-09-30,0.129653,0.157035,0.306534,3197800256.970000,2.316090,,1689507842.00,1632449060.00
sz.000786,2025-03-27,2024-12-31,0.148739,0.144300,0.298778,3726000753.630000,2.158583,25821124419.480000,1689507842.00,1632447935.00
sz.000786,2025-04-25,2025-03-31,0.032282,0.136843,0.289431,854756655.380000,2.170563,,1689507842.00,1632447935.00
sz.000786,2025-08-19,2025-06-30,0.074465,0.145560,0.303478,1973513952.510000,1.990261,13558104740.610000,1689507842.00,1616773097.00
sz.000786,2025-10-25,2025-09-30,0.098521,0.133372,0.295311,2654822274.570000,1.816149,,1700390342.00,1634955466.00
sz.000792,2024-04-30,2024-03-31,0.028858,0.384983,0.487010,1048653877.250000,1.218930,,5432876672.00,5432786902.00
sz.000792,2024-08-30,2024-06-30,0.067009,0.326089,0.536977,2359782580.180000,0.925526,7236628197.190000,5432876672.00,5432789383.00
sz.000792,2024-10-29,2024-09-30,0.093815,0.325149,0.544612,3397345517.160000,1.004062,,5432876672.00,5432789383.00
sz.000792,2025-03-29,2024-12-31,0.136187,0.324694,0.518579,4913958767.890000,0.858314,15134119500.890000,5432876672.00,5432849377.00
sz.000792,2025-04-24,2025-03-31,0.030816,0.404095,0.534424,1260344253.520000,0.920996,,5291572541.00,5291545246.00
sz.000792,2025-08-30,2025-06-30,0.066492,0.399593,0.572063,2709488489.510000,0.938458,6780620522.270000,5291572541.00,5291541746.00
sz.000792,2025-10-25,2025-09-30,0.116000,0.435262,0.591812,4836016637.070000,1.138534,,5291572541.00,5291541746.00
sz.000807,2024-04-26,2024-03-31,0.044215,0.118421,0.143400,1344976821.790000,1.221105,,3467957405.00,3467907951.00
sz.000807,2024-08-27,2024-06-30,0.094709,0.119964,0.152787,2956833911.990000,1.430138,24647622491.050000,3467957405.00,3467899649.00
sz.000807,2024-10-28,2024-09-30,0.142192,0.112805,0.146500,4420334191.030000,1.519831,,3467957405.00,3467899649.00
sz.000807,2025-03-27,2024-12-31,0.163245,0.093644,0.132342,5098981508.640000,1.272124,54450459133.320000,3467957405.00,3467919401.00
sz.000807,2025-04-24,2025-03-31,0.033812,0.077320,0.099561,1114271822.920000,1.217553,,3467957405.00,3467919401.00
sz.000807,2025-08-26,2025-06-30,0.093824,0.108923,0.140652,3167270719.070000,1.343898,29078087200.690000,3467957405.00,3467921051.00
sz.000807,2025-10-25,2025-09-30,0.145054,0.118452,0.153877,5220344836.200000,1.438862,,3467957405.00,3467921051.00
sz.000858,2024-04-29,2024-03-31,0.102834,0.420162,0.784264,14635469470.380000,8.170232,,3881608005.00,3881525907.00
sz.000858,2024-08-29,2024-06-30,0.146565,0.391457,0.773611,19826530605.220000,8.303442,50648026578.650000,3881608005.00,3881525907.00
sz.000858,2024-10-31,2024-09-30,0.187506,0.381961,0.770591,25941110519.450000,8.323468,,3881608005.00,3881525907.00
sz.000858,2025-04-26,2024-12-31,0.242374,0.372228,0.770548,33193460484.320000,8.206180,89175178322.700000,3881608005.00,3881459458.00
sz.000858,2025-04-26,2025-03-31,0.105605,0.416021,0.777424,15367964256.370000,8.416176,,3881608005.00,3881459458.00
sz.000858,2025-08-28,2025-06-30,0.142401,0.381557,0.768278,20135159943.190000,8.318276,52770984383.520000,3881608005.00,3881444512.00
sz.000858,2025-10-31,2025-09-30,0.156003,0.364455,0.749255,22211853938.770000,7.325229,,3881608005.00,3881444512.00
sz.000876,2024-04-30,2024-03-31,-0.081859,-0.098750,-0.029332,-2360959435.110000,0.000115,,4545777038.00,4511189459.00
sz.000876,2024-08-31,2024-06-30,-0.050898,-0.031662,0.023823,-1569726366.080000,0.443130,49577377636.600000,4545777226.00,4511189572.00
sz.000876,2024-10-31,2024-09-30,0.006244,0.000433,0.056744,33423199.500000,0.937124,,4545779583.00,4511191929.00
sz.000876,2025-04-26,2024-12-31,0.018781,0.001956,0.067070,201622562.370000,0.104641,103062962254.340000,4525938648.00,4499676119.00
sz.000876,2025-04-30,2025-03-31,0.017307,0.020704,0.083952,505543244.480000,0.630301,,4525940237.00,4499677783.00
sz.000876,2025-08-30,2025-06-30,0.029239,0.017412,0.078727,898891845.240000,0.540427,51624580505.380000,4525942771.00,4498999737.00
sz.000876,2025-10-31,2025-09-30,0.029561,0.012182,0.073816,980704828.810000,0.239936,,4502576702.00,4499296448.00
sz.000895,2024-04-23,2024-03-31,0.059208,0.090171,0.193787,1286635504.740000,1.395895,,3464661213.00,3464123744.00
sz.000895,2024-08-14,2024-06-30,0.110516,0.084487,0.182939,2331276050.230000,1.302412,27593213220.680000,3464661213.00,3464123744.00
sz.000895,2024-10-30,2024-09-30,0.186601,0.087678,0.182277,3857780731.000000,1.307481,,3464661213.00,3464123744.00
sz.000895,2025-03-26,2024-12-31,0.237793,0.084868,0.176909,5054867594.950000,1.439982,59561224544.070000,3464661213.00,3464123744.00
sz.000895,2025-04-30,2025-03-31,0.052438,0.080686,0.169757,1151308017.730000,1.401164,,3464661213.00,3464123744.00
